	Protein	Domain	Start	Stop
1	UPI002463A496	IPR036852	313	550
2	UPI002463A496	IPR000209	330	461
3	UPI002463A496	IPR000209	493	536
4	UPI00248C35DA	IPR000209	222	485
5	UPI00248C35DA	IPR036852	206	494
6	UPI00256BACCA	IPR000209	84	298
7	UPI00256BACCA	IPR036852	55	306
8	UPI0024679B64	IPR000209	166	401
9	UPI0024679B64	IPR036852	151	407
10	UPI00249AAEB7	IPR036852	293	653
11	UPI00249AAEB7	IPR000209	371	649
12	UPI0024A0EDCE	IPR036852	74	162
13	UPI0024DA549D	IPR000209	47	157
14	UPI0024DA549D	IPR036852	36	162
15	UPI0024D80FCD	IPR000209	13	415
16	UPI0024D80FCD	IPR036852	2	447
17	UPI0024A00E37	IPR000209	171	403
18	UPI0024A00E37	IPR010259	104	142
19	UPI0024A00E37	IPR036852	146	417
20	UPI00248B3D04	IPR000209	189	621
21	UPI00248B3D04	IPR036852	166	654
22	UPI002467F8B7	IPR000209	322	611
23	UPI002467F8B7	IPR036852	282	625
24	UPI00255DE0A8	IPR036852	35	414
25	UPI0024D3B104	IPR036852	34	545
26	UPI0024D3B104	IPR000209	269	518
27	UPI0024C323E0	IPR000209	217	643
28	UPI0024C323E0	IPR010259	82	184
29	UPI0024C323E0	IPR036852	202	653
30	UPI00249D8ACA	IPR000209	141	590
31	UPI00249D8ACA	IPR010259	41	118
32	UPI00249D8ACA	IPR036852	117	602
33	UPI0024C70DA2	IPR010259	44	157
34	UPI0024C70DA2	IPR000209	182	604
35	UPI0024C70DA2	IPR036852	157	642
36	UPI00254E4F27	IPR000209	195	390
37	UPI00254E4F27	IPR036852	107	447
38	UPI00256141D7	IPR000209	146	357
39	UPI00256141D7	IPR036852	138	368
40	UPI00256141D7	IPR010259	38	110
41	UPI002361C30F	IPR000209	1	48
42	UPI00249A6C1D	IPR000209	206	486
43	UPI00249A6C1D	IPR036852	203	490
44	UPI0023627B91	IPR036852	74	390
45	UPI0023627B91	IPR000209	157	333
46	UPI002359964B	IPR036852	197	572
47	UPI002359964B	IPR000209	265	541
48	UPI00246AD2D8	IPR000209	155	490
