	Protein	Domain	Start	Stop
1	UPI002449B2D7	IPR029058	15	302
2	UPI00247CF19B	IPR029058	16	245
3	UPI0024B86FB5	IPR029058	27	286
4	UPI0024A0CD37	IPR029058	8	383
5	UPI0024D55534	IPR029058	29	316
6	UPI0024AD761E	IPR029058	57	301
7	UPI0025644209	IPR029058	278	519
8	UPI0024B0C397	IPR029058	15	278
9	UPI0024C2419C	IPR029058	26	541
10	UPI0025471492	IPR029058	66	328
11	UPI00255738DE	IPR029058	2	305
12	UPI00256F5AE2	IPR029058	249	443
13	UPI00256F5AE2	IPR029058	38	192
14	UPI0024B831DB	IPR029058	3	89
15	UPI0024C1ADE9	IPR029058	5	234
16	UPI0024A45B0A	IPR029058	3	232
17	UPI00254C58C3	IPR029058	125	386
18	UPI002457110F	IPR029058	10	325
19	UPI00245AC693	IPR029058	16	359
20	UPI002554AFCF	IPR029058	3	273
21	UPI002489B50B	IPR029058	467	715
22	UPI00256DBB6B	IPR029058	29	437
23	UPI00246DB1E9	IPR029058	139	481
24	UPI0024B49CA8	IPR029058	535	775
25	UPI0024904EB0	IPR029058	2	225
26	UPI0025473D44	IPR011118	62	320
27	UPI0025473D44	IPR011118	143	319
28	UPI0025473D44	IPR011118	348	497
29	UPI00245E954A	IPR029058	49	425
30	UPI0024A1A7C3	IPR029058	28	254
31	UPI002554EEB4	IPR029058	29	281
32	UPI002544EB9F	IPR029058	30	385
33	UPI0024A6F0FB	IPR029058	4	272
34	UPI0024A80BD5	IPR029058	4	264
35	UPI00245793C4	IPR029058	6	267
36	UPI0024D78A4D	IPR029058	33	298
37	UPI0024C08389	IPR029058	360	583
38	UPI0025758E32	IPR029058	43	311
39	UPI00253B6086	IPR002921	239	415
40	UPI00253B6086	IPR029058	176	435
41	UPI0024A92983	IPR029058	15	301
42	UPI00245BFA4F	IPR029058	18	285
43	UPI0024D21259	IPR029058	28	268
44	UPI0025538830	IPR029058	4	293
45	UPI00255F3397	IPR029058	131	458
