	Protein	Domain	Start	Stop
1	UPI0024A1D91C	IPR000383	34	278
2	UPI0024A1D91C	IPR013736	278	436
3	UPI0024A1D91C	IPR005674	34	278
4	UPI0024A4EA9A	IPR002018	4	467
5	UPI0024BBB848	IPR002018	10	490
6	UPI002467B25C	IPR002018	23	532
7	UPI0023992095	IPR013736	340	570
8	UPI0023992095	IPR000383	25	295
9	UPI0023992095	IPR005674	22	576
10	UPI00255B1897	IPR002018	27	523
11	UPI002492BEFC	IPR013736	385	592
12	UPI002492BEFC	IPR005674	70	585
13	UPI002492BEFC	IPR000383	66	364
14	UPI002386A5C2	IPR000383	64	364
15	UPI002386A5C2	IPR013736	385	595
16	UPI00256E608C	IPR002018	44	536
17	UPI00255428FC	IPR013736	306	512
18	UPI00255428FC	IPR000383	37	275
19	UPI00247201F1	IPR002018	20	575
20	UPI0024C4F52E	IPR002018	33	535
21	UPI00256AFF5F	IPR002018	42	545
22	UPI0024B51EFB	IPR002018	16	579
23	UPI00255280B5	IPR002018	3	438
24	UPI002577DC6A	IPR000383	15	198
25	UPI00247A112D	IPR013736	395	629
26	UPI00247A112D	IPR005674	66	641
27	UPI00247A112D	IPR000383	69	353
28	UPI0024C06151	IPR002018	51	611
29	UPI00255A6A85	IPR002018	34	553
30	UPI002545BB76	IPR002018	366	470
31	UPI002545BB76	IPR002018	39	365
32	UPI002542067B	IPR002018	44	512
33	UPI00247F002F	IPR013736	343	587
34	UPI00247F002F	IPR005674	25	592
35	UPI00247F002F	IPR000383	29	304
36	UPI002544EF36	IPR002018	18	522
37	UPI00249B072B	IPR005674	211	777
38	UPI00249B072B	IPR000383	213	404
39	UPI00249B072B	IPR013736	506	739
40	UPI0024656A4E	IPR000383	41	190
41	UPI0024656A4E	IPR005674	38	193
42	UPI0024DB00CF	IPR002018	120	642
43	UPI0024CC4E33	IPR002018	1	120
44	UPI002541250F	IPR002018	16	230
45	UPI0024D28A9D	IPR002018	37	537
46	UPI0024A2DCE0	IPR002018	13	418
47	UPI0024B66B8E	IPR002018	5	489
48	UPI00247BA676	IPR002018	4	455
49	UPI0024AD7B85	IPR005674	52	602
50	UPI0024AD7B85	IPR013736	388	606
51	UPI0024AD7B85	IPR000383	55	343
52	UPI00254C5163	IPR013736	340	574
53	UPI00254C5163	IPR000383	3	290
54	UPI00254C5163	IPR005674	1	582
55	UPI0023874D1E	IPR000383	12	272
56	UPI00247301B1	IPR002018	38	480
57	UPI0025471CC6	IPR002018	14	463
